,hashOfGame,uuid,playerCard1,playerCard2,action,amount,pot,levelOfBetting,cardsOnBoard,roundCount,isOnSmallblind,isOnBigBlind,smallBlindAmount,bigBlindAmount,stackOfPlayer,stackOfOpponent,sklanskyClass,EHS,HS,PPOT,NPOT,handStrengthFromLibrary,opponentAgressivnessScore,opponentAgressivnessScoreLast7Round,winnerOfRound,finalPotInGame
685,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,D6,HA,raise,20.0,60.0,1.0,"[None, None, None, None, None]",52.0,1.0,0.0,20.0,40.0,2100.0,840.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
686,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,CT,C3,raise,20.0,60.0,1.0,"[None, None, None, None, None]",53.0,1.0,0.0,20.0,40.0,880.0,2060.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,akirkhcuxwbsyijkavpouh,60
687,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,S9,SK,raise,20.0,60.0,1.0,"[None, None, None, None, None]",54.0,1.0,0.0,20.0,40.0,2100.0,840.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
688,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,SJ,DT,raise,20.0,60.0,1.0,"[None, None, None, None, None]",55.0,1.0,0.0,20.0,40.0,880.0,2060.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,akirkhcuxwbsyijkavpouh,60
689,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,D6,S8,fold,0.0,60.0,1.0,"[None, None, None, None, None]",56.0,1.0,0.0,20.0,40.0,2100.0,840.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
690,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,C5,H5,raise,20.0,60.0,1.0,"[None, None, None, None, None]",57.0,1.0,0.0,20.0,40.0,880.0,2060.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,akirkhcuxwbsyijkavpouh,60
691,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,SA,H4,call,20.0,60.0,1.0,"[None, None, None, None, None]",58.0,1.0,0.0,20.0,40.0,2100.0,840.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akirkhcuxwbsyijkavpouh,80
692,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,C3,D3,raise,0.0,80.0,1.0,"[None, None, None, None, None]",58.0,0.0,1.0,20.0,40.0,840.0,2080.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,akirkhcuxwbsyijkavpouh,80
693,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,D9,H4,raise,20.0,60.0,1.0,"[None, None, None, None, None]",59.0,1.0,0.0,20.0,40.0,820.0,2120.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,akirkhcuxwbsyijkavpouh,60
694,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,H6,HJ,raise,20.0,60.0,1.0,"[None, None, None, None, None]",60.0,1.0,0.0,20.0,40.0,2160.0,780.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
695,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,DK,HQ,raise,20.0,60.0,1.0,"[None, None, None, None, None]",61.0,1.0,0.0,20.0,40.0,820.0,2120.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,akirkhcuxwbsyijkavpouh,60
696,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,C8,D9,fold,0.0,60.0,1.0,"[None, None, None, None, None]",62.0,1.0,0.0,20.0,40.0,2160.0,780.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
697,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,H3,D3,fold,0.0,60.0,1.0,"[None, None, None, None, None]",63.0,1.0,0.0,20.0,40.0,820.0,2120.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,akirkhcuxwbsyijkavpouh,60
698,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,H3,CJ,call,20.0,60.0,1.0,"[None, None, None, None, None]",64.0,1.0,0.0,20.0,40.0,2160.0,780.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akirkhcuxwbsyijkavpouh,80
699,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,C2,ST,raise,0.0,80.0,1.0,"[None, None, None, None, None]",64.0,0.0,1.0,20.0,40.0,780.0,2140.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,akirkhcuxwbsyijkavpouh,80
